i,energy group,exterior average coarseness,factor,interior average coarseness,interior coarseness,mode,num interior surfs,ratio,size,total average coarseness
24,0,0.016,0.8,0.028102427656067856,set([0.028102427656067856]),dc,1,10,0.324249267578125,0.017296130881436268
25,1,0.016,0.8,0.027657011086764778,set([0.027657011086764778]),dc,1,10,0.2938880920410156,0.016542267353603833
26,2,0.016,0.8,0.028170686559850208,set([0.028170686559850208]),dc,1,10,0.2991752624511719,0.0166931702244397
27,0,0.016,0.8,0.05850881434044917,"set([0.0802579666676324, 0.16231965596211356, 1.69861028126965, 0.02829394207254011, 0.02952351199810306])",dc,5,7,0.7371025085449219,0.03065339387137189
28,1,0.016,0.8,0.05969914310796362,"set([0.07384324542000023, 0.7117929129888138, 0.0279836001686815, 0.17864966161799964])",dc,4,7,0.4759674072265625,0.024019718270994844
29,2,0.016,0.8,0.053853893796070584,"set([0.02779418921580855, 0.9266906860376832, 0.02983529161011277, 0.07057065538934099, 0.15506084529297218, 0.05305981715915596])",dc,6,7,0.5128860473632812,0.024598940197615465
30,0,0.016,0.8,0.06047443289205516,"set([0.02872868981659244, 0.797210821955369, 0.03628086525503326, 0.08287762522006388])",dc,4,6,0.7950019836425781,0.0322004429585939
31,1,0.016,0.8,0.05808812226235418,"set([3.557690146814513, 0.029559259414049903, 0.02867933446513345, 0.07778304815196549])",dc,4,6,0.5122184753417969,0.025010733642791213
32,2,0.016,0.8,0.054823008848781954,"set([0.07571781484230926, 0.028532063629387965, 0.027276377368181514, 0.04177121243831382])",dc,4,6,0.5438499450683594,0.025566065064070317
33,0,0.016,0.8,0.062152338094129234,"set([0.20549145013190112, 0.0847825969724916, 0.02903858940047831, 55.78132094436728, 0.050817675536601596, 0.0306947016192896, 0.27447573008737214])",dc,7,5,1.2432479858398438,0.03467028829780455
34,1,0.016,0.8,0.06055018596115151,"set([0.0371019771504626, 0.08158164484326039, 0.30726691037575893, 0.2555028528794548, 0.02894045382904658])",dc,5,5,0.5541343688964844,0.02646798011822531
35,2,0.016,0.8,0.05606624404290024,"set([0.029670123619937015, 0.032116250481253675, 0.071932236931565, 0.08037034687061588, 0.028184671042246284])",dc,5,5,0.5938453674316406,0.027005249912879396
36,0,0.024,0.7,0.06714600695152188,"set([0.283431219866527, 0.07776363037250779, 0.043907722186356336])",dc,3,9,0.8147811889648438,0.03669378936315959
37,1,0.024,0.7,0.06041277111381196,"set([0.06718437950740734, 0.04279612092408554])",dc,2,9,0.5733146667480469,0.030005086956010635
38,2,0.024,0.7,0.05551677446611626,"set([0.04124633857536659, 0.06328696406384308, 0.04120809182605978])",dc,3,9,0.5985565185546875,0.030197599133414858
39,0,0.024,0.7,0.06729484448657684,"set([0.07914582866159936, 1.2385074855020655, 0.34857767415004415, 0.04272589226147082, 3.203019967119867, 0.7963220104178788])",dc,6,8,0.8368682861328125,0.03716625993186773
40,1,0.024,0.7,0.061957362857082865,"set([0.04264392407572994, 0.07005694294375057])",dc,2,8,0.5894966125488281,0.03058636678630154
41,2,0.024,0.7,0.05804164625528597,"set([0.04416966987796003, 0.07104794507933272, 0.04277063918200994, 0.06659953097991625])",dc,4,8,0.6286849975585938,0.031201549294879456
42,0,0.024,0.7,0.04212053278224721,set([0.04212053278224721]),dc,1,10,0.4698066711425781,0.025943841228404933
43,1,0.024,0.7,0.04144570311171088,set([0.04144570311171088]),dc,1,10,0.424224853515625,0.024813312574246946
44,2,0.024,0.7,0.042177527906928976,set([0.042177527906928976]),dc,1,10,0.4321556091308594,0.02503812310280984
45,0,0.024,0.7,0.06468842442745426,"set([0.08025796666763241, 0.04236539152931444, 0.04419850262529532, 0.16231965596211362, 1.69861028126965])",dc,5,7,0.9064521789550781,0.038032325444245674
46,1,0.024,0.7,0.0640425948752932,"set([0.07384324542000023, 0.711792912988814, 0.1786496616179996, 0.04191669191625553])",dc,4,7,0.6109504699707031,0.03135299121190549
47,2,0.024,0.7,0.05926534516376798,"set([0.07057065538934099, 0.9266906860376835, 0.041574160048231085, 0.044475533161579546, 0.15506084529297218, 0.05305981715915596])",dc,6,7,0.6573219299316406,0.03201994863753205
48,0,0.024,0.7,0.06499281182331154,"set([0.04299721203249267, 0.04410252892812582, 0.797210821955369, 0.08287762522006388])",dc,4,6,0.9542579650878906,0.03893571108020582
49,1,0.024,0.7,0.06336999589876964,"set([0.042114444105884205, 3.557690146814513, 0.042923202157728955, 0.07778304815196549])",dc,4,6,0.6543312072753906,0.03243742761850053
50,2,0.024,0.7,0.06051115601951338,"set([0.07571781484230927, 0.0417712124383138, 0.042665642084896434, 0.04061360544961357])",dc,4,6,0.6923713684082031,0.03300606664826959
51,0,0.024,0.7,0.06545682459268529,"set([0.20549145013190112, 0.0847825969724916, 55.78132094436728, 0.04590338974372987, 0.043487087301077275, 0.05081767553660162, 0.27447573008737225])",dc,7,5,1.4560928344726562,0.040774463006157606
52,1,0.024,0.7,0.06451536821778042,"set([0.043230279351673354, 0.08158164484326037, 0.30726691037575893, 0.04350065174442339, 0.2555028528794549])",dc,5,5,0.6927223205566406,0.033523152431914394
53,2,0.024,0.7,0.061846486840399076,"set([0.0421206981441478, 0.04384337320843128, 0.071932236931565, 0.08037034687061588, 0.04257918792664682])",dc,5,5,0.7471733093261719,0.03440166718555391
54,2,0.064,0.2,0.11633809133092708,"set([0.1100466493649242, 0.1089589541223607, 0.1199040593618225])",dc,3,9,1.4227142333984375,0.07428664119110431
55,1,0.064,0.2,0.119452003873963,"set([0.11450303544662646, 0.12135534937727104])",dc,2,9,1.3484458923339844,0.07312746753446528
56,0,0.064,0.2,0.1205579795029217,"set([0.283431219866527, 0.12193950014616001, 0.11745368584088156])",dc,3,9,1.7484474182128906,0.08061525168211464
57,2,0.064,0.2,0.11932005961421571,"set([0.11443233774606369, 0.1327550338937583, 0.12138584176133904, 0.1175939191034041])",dc,4,8,1.4756736755371094,0.07568789503532862
