i,average coarseness,dc factor,group,old size
44,0.04228728359638821,0.8,16,0.2238922119140625
45,0.04299536709908596,0.8,17,0.222381591796875
46,0.04375431483319138,0.8,18,0.22166061401367188
47,0.045684176463272726,0.8,19,0.2208404541015625
48,0.044516086076533026,0.8,20,0.21127700805664062
49,0.04472070744928291,0.8,21,0.2062835693359375
50,0.04523543775000987,0.8,22,0.20342254638671875
51,0.04535534533370966,0.8,23,0.1952056884765625
52,0.044748165415103465,0.8,24,0.18279266357421875
53,0.04412618985401417,0.8,25,0.17899703979492188
54,0.043995800758403786,0.8,26,0.17380523681640625
55,0.04356566527354403,0.8,total,6.491020202636719
56,0.057840767370070635,0.7,0,0.4855308532714844
57,0.05938763650468885,0.7,1,0.3882904052734375
58,0.06080573974732198,0.7,2,0.372650146484375
59,0.059323289209971264,0.7,3,0.3557548522949219
60,0.06017389813728147,0.7,4,0.34525299072265625
61,0.06030793596153078,0.7,5,0.339385986328125
62,0.06188267490325078,0.7,6,0.34441375732421875
63,0.06124740262095249,0.7,7,0.3335609436035156
64,0.06035629625844091,0.7,8,0.3280220031738281
65,0.060767397665021886,0.7,9,0.32932281494140625
66,0.06031490961019073,0.7,10,0.326904296875
67,0.06127908973315222,0.7,11,0.327484130859375
68,0.06266943133828705,0.7,12,0.3268241882324219
69,0.0618601484389402,0.7,13,0.31707000732421875
70,0.061929174062848716,0.7,14,0.3112983703613281
71,0.06311072256055855,0.7,15,0.30987548828125
72,0.06226174229574338,0.7,16,0.3018074035644531
73,0.06381930232026806,0.7,17,0.30077362060546875
74,0.06503956717786322,0.7,18,0.2992897033691406
75,0.06579432456048602,0.7,19,0.2922706604003906
76,0.06519984901031516,0.7,20,0.2829933166503906
77,0.06636012597144854,0.7,21,0.2788581848144531
78,0.06744579146722253,0.7,22,0.2757110595703125
79,0.06637304731031203,0.7,23,0.26024627685546875
80,0.06590259101126576,0.7,24,0.24525833129882812
81,0.06566389090328738,0.7,25,0.24260711669921875
82,0.06595195772243927,0.7,26,0.23712921142578125
83,0.06270624829159852,0.7,total,8.558586120605469
84,0.10810814429431913,0.4,0,0.8290443420410156
85,0.11689693307467862,0.4,1,0.69384765625
86,0.12024254789953108,0.4,2,0.6660957336425781
87,0.11784035857818476,0.4,3,0.6391868591308594
88,0.12037440640180304,0.4,4,0.6200065612792969
89,0.12078042459287604,0.4,5,0.610992431640625
90,0.12232646397651296,0.4,6,0.6136360168457031
91,0.12163026928935487,0.4,7,0.5981101989746094
92,0.12003573418626362,0.4,8,0.5889472961425781
93,0.12062760917756593,0.4,9,0.5908203125
94,0.11964925686242722,0.4,10,0.5860176086425781
95,0.12222403726081198,0.4,11,0.5895538330078125
96,0.12482865891459152,0.4,12,0.5865097045898438
97,0.12372354771422003,0.4,13,0.5684585571289062
98,0.12402658476343811,0.4,14,0.559539794921875
99,0.1247328985747418,0.4,15,0.5516319274902344
100,0.12342265367394877,0.4,16,0.5403213500976562
101,0.12720103413263076,0.4,17,0.5393829345703125
102,0.1294029019780509,0.4,18,0.5341796875
103,0.130622346015506,0.4,19,0.5225830078125
104,0.12849592626831485,0.4,20,0.5023384094238281
105,0.13149897132428737,0.4,21,0.497344970703125
106,0.1340851398848547,0.4,22,0.4924812316894531
107,0.13294880263987283,0.4,23,0.46662139892578125
108,0.1300914382517918,0.4,24,0.4352302551269531
109,0.13084300146095945,0.4,25,0.4351539611816406
110,0.13201231204647243,0.4,26,0.42767333984375
111,0.12439527419400037,0.4,total,15.285709381103516
112,0.0901071598973209,0.5,0,0.7060203552246094
113,0.09744126413322954,0.5,1,0.5904693603515625
114,0.10023701101533132,0.5,2,0.5672950744628906
115,0.09826972460168569,0.5,3,0.5443916320800781
116,0.10036582944526397,0.5,4,0.5286445617675781
117,0.10066606211129454,0.5,5,0.5205841064453125
118,0.10192851569724584,0.5,6,0.5227508544921875
119,0.10141273893531291,0.5,7,0.5095138549804688
120,0.09990896523635376,0.5,8,0.5009231567382812
121,0.10054510034921343,0.5,9,0.503082275390625
122,0.0997556414166605,0.5,10,0.49913787841796875
