i,dc factor,edges,group,size,verts
166,0.6,5324,26,0.2598609924316406,3133
167,0.6,190462,total,9.3165283203125,121656
168,0.9,4428,0,0.267333984375,4152
169,0.9,3158,1,0.19895172119140625,2876
170,0.9,3236,2,0.20159912109375,2952
171,0.9,2798,3,0.18003463745117188,2545
172,0.9,2922,4,0.1870880126953125,2678
173,0.9,2892,5,0.18364334106445312,2641
174,0.9,2922,6,0.18529510498046875,2680
175,0.9,2540,7,0.16648483276367188,2313
176,0.9,2480,8,0.16312026977539062,2247
177,0.9,2474,9,0.16255950927734375,2232
178,0.9,2438,10,0.160797119140625,2202
179,0.9,2470,11,0.16256332397460938,2229
180,0.9,2538,12,0.16624832153320312,2299
181,0.9,2562,13,0.16785049438476562,2335
182,0.9,2544,14,0.164886474609375,2304
183,0.9,2368,15,0.15670013427734375,2136
184,0.9,2152,16,0.14484405517578125,1908
185,0.9,2208,17,0.14853286743164062,1983
186,0.9,2318,18,0.1542205810546875,2086
187,0.9,2284,19,0.14965438842773438,2011
188,0.9,1990,20,0.13642120361328125,1772
189,0.9,1906,21,0.13225936889648438,1693
190,0.9,1906,22,0.13225936889648438,1693
191,0.9,1884,23,0.12945556640625,1672
192,0.9,1522,24,0.11093521118164062,1303
193,0.9,1440,25,0.106048583984375,1202
194,0.9,1362,26,0.101165771484375,1152
195,0.9,65742,total,4.320953369140625,59296
196,0.1,23246,0,1.0210762023925781,13561
197,0.1,19544,1,0.8552818298339844,11069
198,0.1,18688,2,0.8205184936523438,10678
199,0.1,17942,3,0.7866172790527344,10117
200,0.1,17292,4,0.7626686096191406,9863
201,0.1,17082,5,0.75201416015625,9736
202,0.1,17150,6,0.75518798828125,9794
203,0.1,16784,7,0.7370185852050781,9435
204,0.1,16508,8,0.7250022888183594,9261
205,0.1,16556,9,0.7266044616699219,9273
206,0.1,16418,10,0.7207565307617188,9192
207,0.1,16546,11,0.7263679504394531,9267
208,0.1,16394,12,0.7212409973144531,9227
209,0.1,15818,13,0.6988105773925781,8963
210,0.1,15610,14,0.6882362365722656,8837
211,0.1,15410,15,0.6790885925292969,8657
212,0.1,15138,16,0.6649894714355469,8401
213,0.1,15082,17,0.6641921997070312,8420
214,0.1,14854,18,0.656341552734375,8354
215,0.1,14604,19,0.6431236267089844,8171
216,0.1,14012,20,0.6179542541503906,7783
217,0.1,13858,21,0.6109886169433594,7669
218,0.1,13710,22,0.6050605773925781,7595
219,0.1,12972,23,0.573577880859375,7216
220,0.1,12120,24,0.535430908203125,6602
221,0.1,12166,25,0.5356712341308594,6565
222,0.1,11978,26,0.5263824462890625,6460
223,0.1,427482,total,18.810203552246094,240166
224,0.3,18076,0,0.813995361328125,10976
225,0.3,15188,1,0.6808052062988281,8891
226,0.3,14528,2,0.6538925170898438,8598
227,0.3,13956,3,0.6269607543945312,8124
228,0.3,13450,4,0.6087799072265625,7942
229,0.3,13282,5,0.5998077392578125,7836
230,0.3,13338,6,0.6025009155273438,7888
231,0.3,13054,7,0.587615966796875,7570
232,0.3,12840,8,0.5780830383300781,7427
233,0.3,12878,9,0.57928466796875,7434
234,0.3,12768,10,0.5745582580566406,7367
235,0.3,12862,11,0.5788078308105469,7425
236,0.3,12750,12,0.5752830505371094,7405
237,0.3,12304,13,0.5580596923828125,7206
238,0.3,12138,14,0.5491676330566406,7101
239,0.3,11986,15,0.5419425964355469,6945
240,0.3,11776,16,0.5303268432617188,6720
241,0.3,11732,17,0.5300102233886719,6745
242,0.3,11552,18,0.5240821838378906,6703
243,0.3,11358,19,0.5131072998046875,6548
244,0.3,10894,20,0.49306488037109375,6224
245,0.3,10782,21,0.4877815246582031,6131
246,0.3,10662,22,0.4829750061035156,6071
247,0.3,10086,23,0.4579811096191406,5773
248,0.3,9426,24,0.4275245666503906,5255
249,0.3,9462,25,0.4273643493652344,5213
250,0.3,9316,26,0.4197578430175781,5129
251,0.3,332444,total,15.003520965576172,192647
252,0.0,25852,0,1.1066436767578125,13580
253,0.0,21734,1,0.9327011108398438,11308
254,0.0,20780,2,0.891448974609375,10840
255,0.0,19964,3,0.8583755493164062,10372
256,0.0,19222,4,0.8284835815429688,10024
257,0.0,18994,5,0.817291259765625,9900
258,0.0,19066,6,0.8194808959960938,9944
259,0.0,18674,7,0.8079452514648438,9692
260,0.0,18362,8,0.7927474975585938,9524
261,0.0,18418,9,0.7936782836914062,9548
262,0.0,18266,10,0.7875595092773438,9468
263,0.0,18404,11,0.7930526733398438,9540
264,0.0,18228,12,0.7854690551757812,9464
265,0.0,17588,13,0.7594528198242188,9152
266,0.0,17360,14,0.7484130859375,9028
267,0.0,17136,15,0.7466354370117188,8892
268,0.0,16840,16,0.7276535034179688,8704
269,0.0,16778,17,0.7255630493164062,8688
270,0.0,16514,18,0.7146987915039062,8572
271,0.0,16238,19,0.70074462890625,8412
272,0.0,15590,20,0.6796798706054688,8060
273,0.0,15416,21,0.6689224243164062,7960
274,0.0,15240,22,0.6603775024414062,7872
275,0.0,14420,23,0.624603271484375,7456
276,0.0,13476,24,0.5881576538085938,6924
277,0.0,13532,25,0.5873184204101562,6932
278,0.0,13314,26,0.5753936767578125,6816
279,0.0,475406,total,20.522491455078125,246672
