i,group,ratio,size,verts
105,21,14,0.5812454223632812,6828
106,22,14,0.5786666870117188,6816
107,23,14,0.5593719482421875,6616
108,24,14,0.530059814453125,6256
109,25,14,0.5198211669921875,6132
110,26,14,0.49919891357421875,5756
111,total,14,17.808982849121094,212560
112,0,25,0.82464599609375,10008
113,1,25,0.6991958618164062,8428
114,2,25,0.6691970825195312,7996
115,3,25,0.665374755859375,7972
116,4,25,0.64892578125,7768
117,5,25,0.6304397583007812,7556
118,6,25,0.6227951049804688,7356
119,7,25,0.6113967895507812,7240
120,8,25,0.6167373657226562,7304
121,9,25,0.6150131225585938,7292
122,10,25,0.6166305541992188,7316
123,11,25,0.6096572875976562,7232
124,12,25,0.6021957397460938,7144
125,13,25,0.6110992431640625,7276
126,14,25,0.5925140380859375,7044
127,15,25,0.58233642578125,6928
128,16,25,0.5762252807617188,6864
129,17,25,0.5655746459960938,6608
130,18,25,0.5530166625976562,6484
131,19,25,0.5458450317382812,6420
132,20,25,0.5469207763671875,6460
133,21,25,0.536590576171875,6336
134,22,25,0.5272674560546875,6220
135,23,25,0.5071792602539062,5992
136,24,25,0.46660614013671875,5404
137,25,25,0.46720123291015625,5428
138,26,25,0.458892822265625,5344
139,total,25,15.969474792480469,189420
140,0,15,0.9249114990234375,11256
141,1,15,0.7679214477539062,9208
142,2,15,0.7538909912109375,9088
143,3,15,0.732452392578125,8824
144,4,15,0.7066421508789062,8416
145,5,15,0.6919784545898438,8260
146,6,15,0.6930465698242188,8280
147,7,15,0.6879653930664062,8228
148,8,15,0.6860198974609375,8228
149,9,15,0.681243896484375,8168
150,10,15,0.679473876953125,8144
151,11,15,0.6720123291015625,8056
152,12,15,0.6602630615234375,7912
153,13,15,0.6563262939453125,7864
154,14,15,0.6447219848632812,7616
155,15,15,0.6282730102539062,7448
156,16,15,0.6210708618164062,7376
157,17,15,0.6262741088867188,7448
158,18,15,0.617431640625,7360
159,19,15,0.604736328125,7208
160,20,15,0.5940170288085938,7092
161,21,15,0.5716934204101562,6724
162,22,15,0.5725173950195312,6748
163,23,15,0.553497314453125,6548
164,24,15,0.52593994140625,6208
165,25,15,0.5081253051757812,6004
166,26,15,0.48833465576171875,5640
167,total,15,17.55078125,209352
168,0,8,1.1066436767578125,13580
169,1,8,0.9327011108398438,11308
170,2,8,0.891448974609375,10840
171,3,8,0.8583755493164062,10372
172,4,8,0.8284835815429688,10024
173,5,8,0.817291259765625,9900
174,6,8,0.8194808959960938,9944
175,7,8,0.8079452514648438,9692
176,8,8,0.7927474975585938,9524
177,9,8,0.7936782836914062,9548
178,10,8,0.7875595092773438,9468
179,11,8,0.7930526733398438,9540
180,12,8,0.7854690551757812,9464
181,13,8,0.7594528198242188,9152
182,14,8,0.7484130859375,9028
183,15,8,0.7466354370117188,8892
184,16,8,0.7276535034179688,8704
185,17,8,0.7255630493164062,8688
186,18,8,0.7146987915039062,8572
187,19,8,0.70074462890625,8412
188,20,8,0.6796798706054688,8060
189,21,8,0.6689224243164062,7960
190,22,8,0.6603775024414062,7872
191,23,8,0.624603271484375,7456
192,24,8,0.5881576538085938,6924
193,25,8,0.5873184204101562,6932
194,26,8,0.5753936767578125,6816
195,total,8,20.522491455078125,246672
196,0,10,1.0337448120117188,12672
197,1,10,0.8482742309570312,10204
198,2,10,0.8195114135742188,9908
199,3,10,0.8076324462890625,9784
200,4,10,0.7786941528320312,9352
201,5,10,0.7871780395507812,9472
202,6,10,0.7665939331054688,9228
203,7,10,0.7458038330078125,8992
204,8,10,0.74664306640625,9004
205,9,10,0.7479248046875,9016
206,10,10,0.7455596923828125,8992
207,11,10,0.73760986328125,8896
208,12,10,0.7303848266601562,8820
209,13,10,0.7176437377929688,8568
210,14,10,0.7158279418945312,8560
211,15,10,0.7024917602539062,8420
212,16,10,0.6821441650390625,8188
213,17,10,0.6737518310546875,8080
214,18,10,0.6765670776367188,8132
215,19,10,0.6502456665039062,7716
216,20,10,0.6502609252929688,7744
